,seller_link,Product1,Product2,Product3,Product4,Product5,Product6,Product7,Product8,Product9,Product10,Product11,Product12,Product13,Product14,Product15,Product16,Product17
23,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A18ZEH8ABBMCX5,https://www.amazon.de/dp/B004BA7634,https://www.amazon.de/dp/B01LXFXMQN,,,,,,,,,,,,,,,
24,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A198GE1LAYMJ4V,https://www.amazon.de/dp/B0009W86E6,,,,,,,,,,,,,,,,
25,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A19D0A49PTV6VM,https://www.amazon.de/dp/B073TZ5BBG,https://www.amazon.de/dp/B073S69SQ1,,,,,,,,,,,,,,,
26,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1AT1RYM82H450,https://www.amazon.de/dp/B0001E3VFG,https://www.amazon.de/dp/B001JAGY3W,https://www.amazon.de/dp/B0001E3U16,,,,,,,,,,,,,,
27,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1B8PUP5EGIDXK,https://www.amazon.de/dp/B001IX673M,,,,,,,,,,,,,,,,
28,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1DC5C8THIP50B,https://www.amazon.de/dp/B01FE8M0LO,https://www.amazon.de/dp/B01LXFXMQN,,,,,,,,,,,,,,,
29,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1DD9BYUAAY3BD,https://www.amazon.de/dp/B0752GDWK6,,,,,,,,,,,,,,,,
30,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1DQ8M6ESP5H5I,https://www.amazon.de/dp/B0002YYYFQ,,,,,,,,,,,,,,,,
31,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1EONLJPN7PXNW,https://www.amazon.de/dp/B00EV0D9C6,https://www.amazon.de/dp/B00IKIEBW2,https://www.amazon.de/dp/B0046041C8,,,,,,,,,,,,,,
32,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1F7OJY9GM4NCS,https://www.amazon.de/dp/B005M2WJDW,,,,,,,,,,,,,,,,
33,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1H8L6UUKVAN7G,https://www.amazon.de/dp/B084SN9HQV,,,,,,,,,,,,,,,,
34,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1HGMGYB1DCDU3,https://www.amazon.de/dp/B00LPHUTOO,https://www.amazon.de/dp/B01FE8M0LO,https://www.amazon.de/dp/B00TTZU566,https://www.amazon.de/dp/B077ZJXCY1,https://www.amazon.de/dp/B07HCQM1WK,,,,,,,,,,,,
35,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1I39CG3SC82JN,https://www.amazon.de/dp/B0009W86E6,,,,,,,,,,,,,,,,
36,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1IFADH6IWHNPH,https://www.amazon.de/dp/B073S69SQ1,,,,,,,,,,,,,,,,
37,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1JF3E6D9PQ9UU,https://www.amazon.de/dp/B0001P151W,,,,,,,,,,,,,,,,
38,https://www.amazon.de/sp?_encoding=UTF8&https://www.amazon.de/sp?_encoding=UTF8&seller=A1KTLNBZL6PXW,https://www.amazon.de/dp/B00IKIEBW2,,,,,,,,,,,,,,,,
